candidate_id,source_name,source_type,vector,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,population_index
g007_a86449bfe4c7174f,gaussian_0267,gaussian,"[2.1159358318271653, 1.3676784596273, 0.4673674025614884, 1.2200639713671246, 1.934819246090419, 0.12477408496899339, -0.20999910921058054, 2.056478694760861, -0.33084544754879086, -0.5146800694846976, -1.0378523776012307, 0.21316597190158626, 0.4566510616691231, 0.25017527493932157, 0.1454170478421287]",2.801820317047709,-0.02499949970612947,0.03191086800434797,953.4622179133876,0.04111822634352822,0.43475697928594736,0.22986662102794334,0.05882741858540708,20
g007_93aff0f4f0c5370c,gaussian_0337,gaussian,"[2.1770231650451533, 1.4475674664168434, 0.5689784956750563, 1.0368453633194314, 1.8320514844950775, -0.06610227928780393, -0.046683617507428, 2.1785602453138915, -0.17196016261658742, -0.4169406928273466, -1.3181253537440218, -0.11320498620794178, -1.223350146864799, 0.5566608979725651, -0.18248336960708875]",2.801920780654031,-0.024611592630680024,0.032393693650939547,1339.3433219440885,0.04105874402716328,0.46338182090915087,0.25394241137353424,0.049815254795573145,21
g007_c29ca4f291351288,gaussian_0124,gaussian,"[2.1954273614400033, 1.3264642725384344, 0.46843115608562713, 1.1337892223992414, 1.9283752168050479, 0.10906545044564817, -0.13881549899005638, 2.0603328217680246, -0.260387054580053, -0.7496412719266832, -0.928109945860192, -0.008723466417454348, 0.06209724810801631, -0.374059920447916, 0.04917763673277847]",2.801961830727281,-0.024627388970405617,0.03230726947877227,1028.3415776483998,0.04110361955519409,0.4423709190470445,0.21763943180550044,0.047342904128018934,22
g007_fe8675ae658bc502,gaussian_0567,gaussian,"[2.105319229597204, 1.4674534992371435, 0.5714342948321097, 1.1701491360252663, 1.8638616090787394, 0.003941789047843473, 0.005150317788023245, 2.2127105033302685, -0.27387960701813635, -0.8052269357663365, -1.0997687334233617, -0.11316917855310707, -0.5618044870417653, -0.05045125284690388, -0.2159400637399417]",2.8036826626103304,-0.024176946913445296,0.0327012866028425,1279.8660781148174,0.0410335520227941,0.44978412008606855,0.22557348837471927,0.07125374171664171,23
g007_d298727d582f8c46,gaussian_0443,gaussian,"[2.065671567472536, 1.4699825156114148, 0.4791586255104242, 1.2273600759410848, 1.8850054733676476, 0.0035202358434375663, 0.10379672492430242, 1.8095603356495673, -0.11144398821189086, -0.8109600966055767, -0.9346328476736151, -0.3392034490633987, 0.21148896699797343, -0.5717081118072276, -0.14714994414996835]",2.8057175717229654,-0.025120465151267535,0.031995381954331256,1248.8044845000113,0.04115243177224787,0.4400667399344951,0.21314997517136242,0.023446797320727908,24
g007_054bdc5d76f51507,gaussian_0747,gaussian,"[1.9803376621196012, 1.3110600416479976, 0.3969019264362555, 1.3078492144433769, 1.9394847755841298, 0.10624746765242889, -0.07180801007486025, 2.350009955026092, 0.010975962104855463, -0.6885340218710442, -0.8392795783489433, 0.23495681126585902, -0.23437290260785293, -0.33250454267273494, 0.05366693802033825]",2.806585434399778,-0.024183330290282412,0.03236121528582697,837.2317014955333,0.04120120265225609,0.4392349907642815,0.21395991091919084,0.07253786529848416,25
g007_2a30745571a88acd,gaussian_0202,gaussian,"[2.0647577359412543, 1.5075991560776, 0.3641874182879372, 1.3885516621414886, 1.968345923526424, 0.13965993678936522, 0.026418137291101568, 2.2161714399948007, -0.04341938531409298, -0.6629771952070774, -1.2930960952976869, 0.07616643953216409, -0.3489247133991078, 0.2447233241211986, 0.0714527468257578]",2.8072760710740203,-0.025102890436371372,0.031956575766107394,986.9957962037333,0.04110793967051573,0.4451514457582881,0.24595046120866676,0.06534599623365095,26
g007_722511553c9b86a2,gaussian_0194,gaussian,"[2.087495427910615, 1.5842266392852355, 0.41660625376755395, 1.4356954107428368, 1.9011556782970604, 0.14046776623564972, -0.08175796492405195, 2.109304857050382, -0.19260905905397752, -0.6454220398165476, -1.1897795623539533, 0.08505497053091153, -0.9466712748589992, 0.26865556150266956, -0.19763108206004013]",2.808735414698737,-0.02489632247520146,0.03220093829512353,1175.2367652545436,0.041093380528445606,0.45368322685952894,0.23548043755809034,0.06394526084191,27
g007_e877de20c307bc24,gaussian_0574,gaussian,"[2.0482291905929184, 1.3489926003419814, 0.39017074108567207, 1.5138647954240334, 1.9553057785472838, 0.12087257039304271, -0.2645812573909795, 2.121399137017483, -0.04214596253367256, -0.7683957605743805, -0.8273180155600254, -0.04988612442158885, -0.318364067683301, -0.6540817222582002, -0.17827801756304487]",2.8106611402641724,-0.024805083657870264,0.03215482884295929,1072.9463283479527,0.04118272365883472,0.4506372358582603,0.21513293771330516,0.05670053369909202,28
g007_f54bdfbeebc57320,gaussian_0283,gaussian,"[2.1737005878350946, 1.3944344089775995, 0.3997895026295864, 1.4251148926016877, 1.8630715471099666, 0.07454532047347631, 0.03551272667517061, 1.9618369266880364, -0.19477108352204833, -1.087636598113299, -0.9508020563006341, 0.2698670876890633, -0.28793918696424725, 0.2982614708343402, 0.026282508490245313]",2.8110402551072062,-0.02604895698944698,0.03126878106087361,994.1787067035875,0.04117748871346247,0.44785564379697684,0.2316449162637455,0.040773230726876684,29
