candidate_id,phase,nominal_id,source_candidate_id,nominal_category,source_name,source_type,tail_vector,action_rms_pred,delta_action_rms_pred,repair_excess_rms_pred,probe_center_candidate_id,probe_center_nominal_id,probe_variable_index,probe_sign,probe_requested_delta,probe_actual_delta,probe_scheme,population_index
s30r02p_976c14e546dd26bc,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v10_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.26399999999999973,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37706212190319266,0.2062484605643722,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,10,-1,0.04,-0.03999999999999998,two_sided,20
s30r02p_fc55bb0ece5f393d,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v10_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3439999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3773691333717653,0.2069557256592158,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,10,1,0.04,0.03999999999999998,two_sided,21
s30r02p_090126b4f265009c,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v11_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.09899999999999991,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3771853920350234,0.2065613980361355,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,11,-1,0.015,-0.015,two_sided,22
s30r02p_6325a7e2a52f8384,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v11_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.1289999999999999,0.3039999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772285665126459,0.2065754764854081,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,11,1,0.015,0.014999999999999986,two_sided,23
s30r02p_f8dcd1e34eb88d4e,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v12_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.26399999999999985,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37706212190319266,0.20660239576092285,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,12,-1,0.04,-0.03999999999999998,two_sided,24
s30r02p_59bcdef219203ee6,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v12_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3439999999999998,-0.01600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3773691333717653,0.20660239576092285,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,12,1,0.04,0.03999999999999998,two_sided,25
s30r02p_526fa89e9d9558c0,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v13_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.05600000000000046,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.37722373803360104,0.20691824999030645,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,13,-1,0.04,-0.04,two_sided,26
s30r02p_62568046323f9b26,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v13_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,0.023999999999999543,0.11399999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772075795365894,0.20628605791292595,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,13,1,0.04,0.04,two_sided,27
s30r02p_1308975987aea2ac,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v14_m,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.09899999999999999,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3771853920350234,0.20656843738070949,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,14,-1,0.015,-0.015,two_sided,28
s30r02p_001984f20477c315,round_002_probes,nominal_05_s22g000_571ab4a158d29207,s22g000_571ab4a158d29207,gate,center0_v14_p,real_tsc_fd_probe,"[-0.40309345181811007,0.27786250362187664,0.13535042464019692,0.18999999999999997,0.18999999999999995,0.06649999999999995,0.26599999999999935,0.266,0.095,0.30399999999999966,0.3039999999999997,0.11399999999999991,0.3039999999999998,-0.01600000000000046,0.129,0.3039999999999991,-0.015999999999999986,0.11399999999999988]",0.3772285665126459,0.20656843738070949,0.04807504367787985,s30r01s_341150084ff015bd,nominal_05_s22g000_571ab4a158d29207,14,1,0.015,0.015000000000000013,two_sided,29
