left_experiment_id,right_experiment_id,left_target_id,right_target_id,left_delay,right_delay,left_slew,right_slew,same_checkpoint_step,same_snapshot_clock,same_future_semantics,R_abs_difference_m,Z_abs_difference_m,Ip_abs_difference_A,vR_abs_difference_m_per_s,vZ_abs_difference_m_per_s,coil_max_abs_difference_A,coil_rms_difference_A,action_max_abs_difference,wire_max_abs_difference_A,wire_rms_difference_A,wire_relative_rms_difference,visible_max_normalized_ratio,visible_match_pass,hidden_separation_pass,valid_r3_existing_pair
s42r1_13e6677c5ee386421561,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,1,2,1.1,0.9,True,True,False,0.005141842999999979,0.0031835234000000007,49.65219999999681,0.04665449999999849,0.07024201999999996,1.3958333333333428,0.6755979259438879,0.07067653723061085,4.661,2.688642989502325,1.8398115714199492,70676537230.61086,False,False,False
s42r1_02e362a9db5d0038375a,s42r1_13e6677c5ee386421561,RZ_p10_m10,RZ_p10_m10,0,1,1.0,1.1,True,True,False,0.001944948000000002,0.0012968154999999995,28.812599999997474,0.00037470000000539017,0.0027676900000000726,0.5625,0.23745824194301168,0.0710987001657486,2.521,1.414828456916244,1.414828456916244,71098700165.7486,False,False,False
s42r1_360594c6e0e18106a893,s42r1_a873b553954ffbd64e0d,RZ_p10_m10,RZ_p10_m10,1,0,1.0,1.1,True,True,False,0.0034889490000000745,0.0012651425999999997,2.1754000000000815,0.01061510000001098,0.014981409999999945,0.2291666666666714,0.10925331893546063,0.07244954677298665,2.19,1.2938863857258358,1.2938863857258358,72449546772.98665,False,False,False
s42r1_07d4391626b568d3d1d4,s42r1_127f38736035b78c7af6,RZ_p10_m10,RZ_p10_m10,2,1,1.0,0.9,True,True,False,0.0029503779999999757,0.0023274617999999997,38.55450000000201,0.03597700000000925,0.09572086000000005,1.6041666666666714,0.8064763967850711,0.07305100373923779,3.652,2.0359955897954856,1.6846280956569073,73051003739.2378,False,False,False
s42r1_6e47fc276c089c8225c6,s42r1_dd913b425ec6e54e594d,nominal,nominal,2,2,0.9,1.1,True,True,False,0.003595741000000041,0.003016924800000001,5.750400000000809,0.041150299999992423,0.09514452999999992,1.2083333333333286,0.7515649532596973,0.07424996979534626,3.347,1.8243127244709627,1.5400339758659292,74249969795.34627,False,False,False
s42r1_127f38736035b78c7af6,s42r1_13e6677c5ee386421561,RZ_p10_m10,RZ_p10_m10,1,1,0.9,1.1,True,True,False,0.00474880600000005,0.003303709,57.71529999999984,0.04476780000000069,0.07787847999999997,1.6041666666666714,0.785402012620653,0.07484176196157932,4.968999999999999,2.837230842594001,1.8678441951548654,74841761961.57933,False,False,False
s42r1_9cb2964ccf9f1f305352,s42r1_a1b7708f6011ce730dd9,nominal,nominal,0,0,1.0,0.9,True,True,False,0.003107234999999986,0.0017973662999999987,25.54620000000068,0.035312899999995206,0.08349469999999991,0.9166666666666572,0.5058660242829232,0.07861606049118564,3.2310000000000003,2.072639138875844,1.65354480037245,78616060491.18564,False,False,False
s42r1_db5ff6d589593afd0d7d,s42r1_eeeae74dc3d8cfdd6271,RZ_p10_m10,RZ_p10_m10,2,2,1.1,0.9,True,True,False,0.004946539999999944,0.0035406884000000003,34.76269999999931,0.03188509999999534,0.09756276000000008,1.3958333333333286,0.7674696558294979,0.08326846221461892,4.296,2.407104402423515,1.8183869588766914,83268462214.61893,False,False,False
s42r1_0335d099a55455c8c4a2,s42r1_a1b7708f6011ce730dd9,nominal,nominal,0,0,1.1,0.9,True,True,False,0.004385672999999923,0.0022192902999999993,18.094300000000658,0.0582016000000074,0.09027555999999992,1.1700000000000017,0.598693544576405,0.08327462989836931,4.618,2.818598295991585,1.8586369179731486,83274629898.36931,False,False,False
s42r1_43d84438b41d51cf6491,s42r1_6e47fc276c089c8225c6,nominal,nominal,1,2,1.1,0.9,True,True,False,0.005200375000000035,0.0036945928000000003,18.167900000000373,0.04385929999999316,0.08277263999999993,1.2916666666666714,0.7277262248492454,0.08564081974327564,4.6419999999999995,2.595140081318669,1.7439963205129092,85640819743.27565,False,False,False
