pair_id,history_member,target_id,actual_delay_steps,actual_slew_scale,probe_id,signed_member_count,response_available,baseline_initial_state_exact,even_velocity_rmse_m_per_s,even_position_rmse_m,even_ip_rmse_A,central_symmetry_pass,first_effect_state
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode2,2,True,True,0.000281978928199609,4.6222518722533276e-05,0.5117864729525305,True,17
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode0,2,True,True,0.0004977145301955403,1.7433929797959716e-05,0.7843002614460279,True,3
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode1,2,True,True,0.0006063341975785251,2.274578142902224e-05,1.110660769542744,True,3
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_transport_step_mode2,2,True,True,0.00026056711978013065,1.5928928063056713e-05,0.6398727851668797,True,3
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode0,2,True,True,0.00026368971934028466,9.896959665092843e-06,0.7290115195167925,True,17
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode1,2,True,True,0.0007928732261348676,2.6269212423821316e-05,1.085053992015911,True,17
p9_q1_a0p750_gap2_settle4,plus_first,RZ_p10_m10,2,0.9,persistent_braking_step_mode2,2,True,True,0.00022097337902642658,1.1574445523928193e-05,1.4321200821525129,True,17
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode0,2,True,True,0.0003634045320655483,1.7830585536825278e-05,1.7867021287336005,True,3
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode1,2,True,True,0.0003316804138432405,2.091115601738431e-05,0.7912458528390109,True,3
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,persistent_transport_step_mode2,2,True,True,0.0003395625281750407,3.885929431637363e-05,0.6577770200646668,True,3
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode0,2,True,True,0.0002929473358576974,1.1481839392848096e-05,0.9925248982280245,True,17
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode1,2,True,True,0.0003334039635998718,2.7292167020861807e-05,1.5855794905361342,True,17
p9_q1_a0p750_gap2_settle4,plus_first,nominal,0,1.0,persistent_braking_step_mode2,2,True,True,0.0007032506340141542,5.781673630602574e-05,1.9339186817374856,True,17
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode0,2,True,True,0.0006619801113126359,4.108615516089825e-05,1.0450263946278684,True,3
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode1,2,True,True,0.0007990464032966517,4.24836912847906e-05,1.0279061755982117,True,3
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,persistent_transport_step_mode2,2,True,True,0.001044574441376244,5.9290365375657935e-05,1.9501537846680486,True,3
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode0,2,True,True,0.000130440739019129,8.098025856255865e-06,0.5291973348300232,True,17
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode1,2,True,True,0.00026874787731832195,9.068015882871165e-06,0.813375566064507,True,17
p9_q1_a0p750_gap2_settle4,plus_first,nominal,2,0.9,persistent_braking_step_mode2,2,True,True,0.0001879124259159241,1.1671501192638026e-05,0.31951001641352855,True,17
p9_q2_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode0,2,True,True,0.0007446481933588343,5.0112296816989014e-05,1.5819983662707495,True,3
p9_q2_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode1,2,True,True,0.00041100621943435095,3.0330300373283808e-05,1.1815045786290554,True,3
p9_q2_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_transport_step_mode2,2,True,True,0.0008740385026307798,4.492351115159674e-05,1.7159290300736774,True,3
p9_q2_a0p750_gap2_settle4,minus_first,RZ_p10_m10,0,1.0,persistent_braking_step_mode0,2,True,True,0.000585531884853731,2.6947016559088263e-05,1.4608464939785362,True,17
