candidate_id,vector,source_name,source_type,linear_prefilter_score,predicted_terminal_R_error_m,predicted_terminal_Z_error_m,predicted_terminal_Ip_error_A,predicted_late_RZ_rms_m,action_rms,delta_action_rms,repair_excess_rms,predicted_terminal_velocity_m_per_s,predicted_late_velocity_rms_m_per_s,proposal_rank_score,population_index,generation
s21g000_65175cb0385a3110,"[2.0022025750249073,1.4753179781075756,0.4688329293660869,1.1710619962519169,1.9222963920897258,0.0372253763159934,-0.23431210604138972,2.0887735962859693,-0.22086467929074796,-0.7965813666044725,-1.0088969457299968,0.13239891997771017,-0.4001218654136104,-0.2630908416419451,-0.07038125028259208]",damped_parent_20,damped_tail,2.878205434023709,-0.023035300476661025,0.03450970247490922,1042.7262738564204,0.04150194396767239,0.44464161869094887,0.2188962082752363,0.04755178749138435,0.024248833109217837,0.07498524276610391,3.264266771899213,30,0
s21g000_aa25cc87d3d4060e,"[1.9482652295221925,1.510604076687228,0.429811666066487,1.2627322484185972,1.7550844484301171,0.15840002636879005,-0.14232139781249134,1.8005439108682033,-0.2720419703788506,-0.5492885554326644,-1.4032361390399626,0.38539641634192323,-0.7555390298968757,0.1444663918656875,0.03059632925528752]",damped_parent_17,damped_tail,2.970819283413759,-0.02627316321640205,0.033345486538121805,854.7981749638311,0.04206353023964947,0.4459535289471037,0.24480903094126064,0.007417947359851574,0.0223441159682996,0.06924225600880485,3.299935217675204,31,0
s21g000_7c161433da3b5519,"[2.1564444893904606,1.5470759299709402,0.47312219576010506,1.2641124791293226,1.8242703128182918,0.1315193352694544,-0.36558889466042216,2.021549435626548,-0.22969040269668098,-0.46473699893507386,-1.6878589348885178,0.19076606673092622,-0.36304158838847506,-0.06485601706710908,-0.06616299595037328]",damped_parent_16,damped_tail,2.992501196418853,-0.0263193430924481,0.0336698426859135,936.6065214105474,0.042102928512907985,0.4567977159735832,0.265309193812802,0.04637821955889074,0.016002880878049186,0.06867947364988747,3.3080609798464122,32,0
s21g000_7991e6e67985da7d,"[1.9671949602974454,1.4709136244657204,0.5477526544444604,1.2616392839459447,1.9023826556631187,0.05303854004470385,-0.24736819961992157,1.8653869971541583,-0.11991500725495348,-0.6254183350637466,-1.2247939510636694,0.1804740383662196,-0.07887659180263146,-0.4946561890126583,0.017951702697691148]",damped_parent_09,damped_tail,2.9409888845518966,-0.024786610777504547,0.03405832741945821,844.5535430522832,0.04190250062668343,0.4447218682232461,0.23049465522013365,0.02160629132706923,0.025285422939950293,0.07487047318828541,3.327729430119177,33,0
s21g000_599f367721b2d64c,"[2.115955376514202,1.4901383249665934,0.49428540889132205,1.1082359515578932,2.0038747872973643,0.17520033844248312,0.01892088503972076,1.7802150744004794,-0.3347245093691213,-0.9467045264414684,-1.4018862712579503,0.13634233008976904,-0.21814181757438728,-0.36027804090166304,-0.3276387303675609]",damped_parent_21,damped_tail,3.033686958430456,-0.025515843809923,0.03471978358822658,1093.6516781392456,0.0423691338160028,0.45152496875240994,0.24199561554282148,0.04401207611876042,0.0,0.06822403763817611,3.3362307136880487,34,0
s21g000_a061b07e61a8ef04,"[2.0137372884609994,1.4909503692144663,0.44892978900444025,1.2621613390489979,1.8931652603369384,0.04286315137823707,-0.15701073444455302,1.9452262723123903,-0.22207316142022213,-0.7830735067032973,-1.188185212773989,0.12619981468045807,-0.7318043347920394,-0.5432171116039619,-0.04095892851564898]",damped_parent_20,damped_tail,2.9241007665293783,-0.02473778510605895,0.033971107775131085,972.6991307168828,0.0417565040320671,0.4571411937006872,0.22442425772423544,0.03227325580402018,0.019234431091731254,0.07879472823601202,3.340609081265322,35,0
s21g000_a02c2a3208d5032b,"[1.8996772011017093,1.5888217231943933,0.403191426291631,1.3038215375614086,1.663326036156343,0.18409289173004276,-0.360866213580333,2.0541381576704545,-0.30686835539957186,-0.48741796892726513,-1.3563673047890388,0.3003885220900752,-1.0885655970119825,0.14631049081368835,-0.07053160068762278]",damped_parent_17,damped_tail,3.027332842798297,-0.025219196700486113,0.0346853262693117,973.7141741616433,0.042385497534780804,0.45051490569795927,0.24602589844325365,0.05367827390794391,0.026943200147791696,0.06681707244395592,3.342934480044191,36,0
s21g000_61aeb5de79593a6d,"[2.067412808183341,1.6201464901051386,0.4872249865333052,1.355614605174847,1.9002538818217884,0.015118348326636256,-0.2957085396702051,1.9647408549014584,-0.38808799066089295,-1.06007516512493,-1.2829187374699587,-0.15221380709652438,-0.05336658595611496,0.2686301670543923,-0.19532473920970947]",damped_parent_12,damped_tail,3.03576964530298,-0.02439659835208763,0.035464166611955616,1371.6123476167159,0.04234873345325746,0.44504424968255174,0.24500019281177338,0.06919083115307992,0.006347030714857202,0.06925395952564296,3.348926822412978,37,0
s21g000_e070274e451b41c9,"[2.1764268678256182,1.5328475602117009,0.4643831744494164,1.1124878092349917,1.9455392796454087,0.1561844479969341,-0.09872324974826477,2.009732014772169,-0.3437912700274627,-0.9082645395346879,-1.4182108458705696,0.14094574266790846,-0.41011461233581276,-0.4862259412936538,-0.21074794921778445]",damped_parent_21,damped_tail,3.009377613024964,-0.024972078425275046,0.034842576062837305,1033.6290258988229,0.04218261829888999,0.45981284329623967,0.2407769451939786,0.06161940541671128,0.0,0.07228836800163953,3.349042142667094,38,0
s21g000_b7d9f8e09aba9642,"[1.9006872619729682,1.4579095683848433,0.40294228578191094,1.3026042420783412,1.6728449448164882,0.19683306591631217,-0.29080937243396787,1.8396068368226912,-0.3829283901049523,-0.6730153963936695,-1.5962125795882747,0.2675597260897478,-1.2089623584861229,0.053938735544355826,-0.07971062067834117]",damped_parent_17,damped_tail,3.1889380277921227,-0.027304672381332717,0.03515622683039145,971.6377776389745,0.04329240247380476,0.4618752442647934,0.25710072286339375,0.029105124875585937,0.0,0.050303491084911736,3.3534167067885594,39,0
